M00001,Jul  1 09:00:55,calvisitor-10-105-160-95,Login,AppleThunderboltNHIType2::prePCIWake - power up complete - took 2 us,true,kernel
M00002,Jul  1 09:00:55,calvisitor-10-105-160-95,Login,AppleThunderboltGenericHAL::earlyWake - complete - took 0 milliseconds,true,kernel
M00003,Jul  1 09:00:55,calvisitor-10-105-160-95,Activity,AirPort: Link Down on awdl0. Reason 1 (Unspecified).,SYSTEM,kernel
M00004,Jul  1 09:00:55,calvisitor-10-105-160-95,Activity,ARPT: 620651.021206: wl0: wl_update_tcpkeep_seq: Original Seq: 2477329075, Ac...,SYSTEM,kernel
M00005,Jul  1 09:00:55,calvisitor-10-105-160-95,Activity,Bluetooth -- LE is supported - Disable LE meta event,SYSTEM,kernel
M00006,Jul  1 09:00:55,calvisitor-10-105-160-95,Activity,ARPT: 620651.021235: wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from Use...,SYSTEM,kernel
M00007,Jul  1 09:00:55,calvisitor-10-105-160-95,Activity,ARPT: 620651.021264: wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.,SYSTEM,kernel
M00008,Jul  1 09:00:55,calvisitor-10-105-160-95,Activity,ARPT: 620651.047545: AirPort_Brcm43xx::platformWoWEnable: WWEN[enable],SYSTEM,kernel
M00009,Jul  1 09:00:55,calvisitor-10-105-160-95,Activity,ARPT: 620651.048430: AirPort_Brcm43xx::syncPowerState: WWEN[enabled],SYSTEM,kernel
M00010,Jul  1 09:00:55,calvisitor-10-105-160-95,Activity,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for ro...,SYSTEM,kernel
M00011,Jul  1 09:00:55,calvisitor-10-105-160-95,Activity,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for ro...,SYSTEM,kernel
M00012,Jul  1 09:00:55,calvisitor-10-105-160-95,Login,AppleCamIn::systemWakeCall - messageType = 0xE0000340,true,kernel
M00013,Jul  1 08:58:36,calvisitor-10-105-160-95,Activity,AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = 1 dlla_reporting_suppo...,SYSTEM,kernel
M00014,Jul  1 09:00:55,calvisitor-10-105-160-95,Activity,AppleThunderboltNHIType2::waitForOk2Go2Sx - retries = 6,SYSTEM,kernel
M00015,Jul  1 09:00:55,calvisitor-10-105-160-95,Login,Wake reason: ?,true,kernel
M00016,Jul  1 09:00:55,calvisitor-10-105-160-95,Login,AppleCamIn::systemWakeCall - messageType = 0xE0000340,true,kernel
M00017,Jul  1 09:00:55,calvisitor-10-105-160-95,Login,AppleCamIn::wakeEventHandlerThread,true,kernel
M00018,Jul  1 09:00:55,calvisitor-10-105-160-95,Activity,RTC: PowerByCalendarDate setting ignored,SYSTEM,kernel
M00019,Jul  1 09:00:55,calvisitor-10-105-160-95,Login,Previous sleep cause: 5,true,kernel
M00020,Jul  1 09:00:55,calvisitor-10-105-160-95,Login,AppleThunderboltNHIType2::prePCIWake - power up complete - took 1 us,true,kernel
M00021,Jul  1 09:00:55,calvisitor-10-105-160-95,Login,AppleThunderboltGenericHAL::earlyWake - complete - took 1 milliseconds,true,kernel
M00022,Jul  1 09:00:55,calvisitor-10-105-160-95,Activity,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for ro...,SYSTEM,kernel
M00023,Jul  1 09:00:55,calvisitor-10-105-160-95,Activity,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for ro...,SYSTEM,kernel
M00024,Jul  1 09:00:55,calvisitor-10-105-160-95,Activity,TBT W (2): 0x0040 [x],SYSTEM,kernel
M00025,Jul  1 09:00:55,calvisitor-10-105-160-95,Activity,AirPort: Link Down on en0. Reason 8 (Disassociated because station leaving).,SYSTEM,kernel
M00026,Jul  1 09:00:55,calvisitor-10-105-160-95,Activity,en0: channel changed to 1,SYSTEM,kernel
M00027,Jul  1 09:00:55,calvisitor-10-105-160-95,Activity,en0::IO80211Interface::postMessage bssid changed,SYSTEM,kernel
M00028,Jul  1 09:00:55,calvisitor-10-105-160-95,Activity,en0: 802.11d country code set to 'X3'.,SYSTEM,kernel
M00029,Jul  1 09:00:55,calvisitor-10-105-160-95,Activity,en0: Supported channels 1 2 3 4 5 6 7 8 9 10 11 12 13 36 40 44 48 52 56 60 64...,SYSTEM,kernel
M00030,Jul  1 09:00:55,calvisitor-10-105-160-95,Error,-[NetworkAnalyticsEngine _writeJournalRecord:fromCellFingerprint:key:atLOI:of...,0,symptomsd
M00031,Jul  1 09:00:55,calvisitor-10-105-160-95,Activity,en0: channel changed to 1,SYSTEM,kernel
M00032,Jul  1 09:00:55,calvisitor-10-105-160-95,Login,ARPT: 620652.789289: ARPT: Wake Reason: Wake on Scan offload,true,kernel
M00033,Jul  1 09:00:55,calvisitor-10-105-160-95,Activity,AirPort: Link Up on awdl0,SYSTEM,kernel
